animename,genre
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"8,37"
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"4,22,69"
Angel Beats! Another Epilogue,"37,23"
Shiki Specials,"14,7,37,58,40,32,27"
Fate/Zero,"1,10,37"
Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,4
Dog Days,"1,2,10,62"
No.6,"1,8,7,24"
Otome Youkai Zakuro Picture Drama,"22,37,13,6,42"
Senkou no Night Raid: Aruku Hako,"1,13,31"
The iDOLM@STER,"4,8,60,19"
Natsume Yuujinchou San,"36,37,63,6,25"
Hotarubi no Mori e,"46,8,22,37,25"
Gyo,"8,14,7,24,41,58,40,76,42"
Kimi to Boku.,"4,22,63,23,27"
Otohime Connection,"8,7,22,25"
Blood-C,"1,14,7,37,58,23,32"
Working'!!,"4,74,48,42"
Persona 4 the Animation,"1,7,24,37,23,31"
Naruto: Shippuuden Movie 5 - Blood Prison,"1,2,10,27"
Mardock Scramble: The Second Combustion,"1,24,40"
Ao no Exorcist: Ura Ex,"4,27"
Blood-C: The Last Dark,"1,14,37,58,32"
A-Channel: +A-Channel,"4,36,52,23"
Guilty Crown,"1,8,24,18,74,31"
Hourou Musuko Specials,"8,81,23"
Inu x Boku SS,"4,22,37,6,27"
Hidamari Sketch x SP,"36,52,63,23,80"
Hidamari Sketch x Honeycomb,"36,52,63,23,80"
Ao no Exorcist: Kuro no Iede,"10,27"
Black★Rock Shooter (TV),"1,8,10,23,31"
A-Channel+smile,"4,52,23"
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,"1,8,13,21,27"
Nisemonogatari,"4,7,37,9"
Natsume Yuujinchou Shi,"36,37,63,6,25"
Ao no Exorcist Movie,"1,10,6,23,27"
Kimi to Boku. 2,"4,22,63,23,27"
Fate/Zero 2nd Season,"1,10,37"
Senki Zesshou Symphogear,"1,24,60,19"
Sword Art Online,"1,2,10,22,64,79"
Dog Days',"1,2,10,62"
The iDOLM@STER: 765 Pro to Iu Monogatari,"4,8,60,19"
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"8,10,41,66,40"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"8,10,41,66,40"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"46,8,10,41,66,40"
Mardock Scramble: The Third Exhaust,"1,24,40"
Natsu-iro Kiseki,"36,37,23"
Koi to Senkyo to Chocolate,"8,22,35,23"
Yuri Seijin Naoko-san (2012),"4,26"
Wonder Bebil-kun,"4,10"
Star Driver the Movie,"1,22,24,18,23"
Tsuritama,"4,24"
Shinsekai yori,"8,10,14,7,24,41,40"
Fate/Zero Remix,"1,10,37"
Fate/Zero: Onegai! Einzbern Soudanshitsu,4
Chouyaku Hyakuninisshu: Uta Koi.,"4,22,13,43"
Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,"4,37,27"
Moyashimon Returns,"4,47,37,23,42"
Guilty Crown: 4-koma Gekijou,4
Persona 4 the Animation: No One is Alone,"2,7,24,37,23,31"
Robotics;Notes,"8,7,24,18,23"
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,"4,22,69"
Naruto: Shippuuden Movie 6 - Road to Ninja,"1,2,10,62,27"
Zetsuen no Tempest,"1,8,10,7,41,40,27"
Tonari no Kaibutsu-kun,"4,22,23,25"
Vividred Operation,"1,24,9"
Nerawareta Gakuen,"22,24,23"
Arata naru Sekai: World's/Start/Load/End,"24,78"
Persona 3 the Movie 1: Spring of Birth,"1,10,37"
Magi: The Labyrinth of Magic,"1,2,10,27"
Sasami-san@Ganbaranai,"4,22,37"
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"4,22,35,23"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,"8,37"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"1,4,24,57,13,20,21,78,27"
Gintama': Enchousen,"1,4,24,57,13,20,21,27"
Natsu-iro Kiseki: 15-kaime no Natsuyasumi,36
Nekomonogatari: Kuro,"4,22,37,9"
